,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2019-04-25,4.348670928606389,13.25,8.901329071393612,79.23365923723705,0.44232886718772146,-1.1057907482944915,0.008336539375766623,0,-1.117141607963181,-0.0030143202929227013,1,-8.901329071393612
2019-04-26,3.269337128510817,12.73,9.460662871489184,89.50414196797398,0.6161956167025147,-1.3994103010657593,-0.04003613986291601,1,-1.4136480837285315,-0.054273922525688315,1,-9.460662871489184
2019-04-29,0.25686149210117437,13.11,12.853138507898825,165.20316950323163,2.9521863695436332,-3.9031796931778304,0.02941388520629319,0,-3.927239837107022,0.005353741277101604,0,-12.853138507898825
2019-04-30,0.2828427718579772,13.12,12.837157228142022,164.79260570003896,2.8585600338171475,-3.836239409977882,0.0007624857403343954,0,-3.836239409977882,0.0007624857403343954,0,-12.837157228142022
2019-05-02,3.117891258270634,14.42,11.302108741729366,127.73766200987536,0.7476791581270479,-1.5574702862171081,-0.026011048913266433,1,-1.5265930476526688,0.004866189651172906,0,-11.302108741729366
2019-05-03,0.7074503936146386,12.87,12.16254960638536,147.92761292778468,1.9559557391160745,-3.014703898812034,-0.1137171102487678,1,-2.9929715328199538,-0.09198474425668735,1,-12.16254960638536
2019-05-07,1.6304292531797884,19.32,17.689570746820213,312.9209132067574,1.5566882512201623,-2.2481182189382283,0.22417928418774183,0,-2.2774757835677844,0.19482171955818606,0,-17.689570746820213
2019-05-08,9.09233321115411,19.4,10.30766678884589,106.24799462987653,0.22651848156856413,-0.7537092746365346,0.00413223728491037,0,-0.7343723773805979,0.023469134540847095,0,-10.30766678884589
2019-05-09,5.792629215493984,19.1,13.307370784506016,177.08611719632427,0.4963810671158111,-1.2086867816144995,-0.01558473101669809,1,-1.3068046375730227,-0.11370258697522144,1,-13.307370784506016
2019-05-10,0.7527122636559691,16.04,15.28728773634403,233.70116633377458,2.10608504510814,-3.233760579240063,-0.17460273261421583,1,-3.217397057612853,-0.15823921098700552,1,-15.28728773634403
2019-05-21,2.880972857982716,14.95,12.069027142017283,145.66141615474987,0.8392904793998284,-1.7336503816152717,-0.08706711679622699,1,-1.7056721811890512,-0.05908891637000656,1,-12.069027142017283
2019-05-22,2.4795827534513646,14.75,12.270417246548636,150.5631394043982,0.9512600866584435,-1.7966209983905737,-0.013468217050866593,1,-1.8039519209256258,-0.02079913958591867,1,-12.270417246548636
2019-05-23,4.2547034445457586,16.92,12.665296555454244,160.40973683760114,0.6319313047935897,-1.2432180189482822,0.1372532713922485,0,-1.3201790600844105,0.06029223025612026,0,-12.665296555454244
2019-05-24,10.855905036877417,15.85,4.994094963122583,24.940984500686355,0.0633754696356561,-0.44378717920795696,-0.06532685385478766,1,-0.40890691446173644,-0.03044658910856725,1,-4.994094963122583
2019-05-28,8.050069058890568,17.5,9.449930941109432,89.3011947917374,0.2365241570139418,-0.6774888301854449,0.09903138060617876,0,-0.7207054316852273,0.055814779106396324,0,-9.449930941109432
2019-05-29,13.370326983578812,17.9,4.529673016421187,20.517937635694214,0.038708507059628694,-0.26916303360167215,0.022599831917240777,0,-0.32743194172564793,-0.035669076206735005,1,-4.529673016421187
2019-05-30,12.537513416191539,17.3,4.762486583808462,22.681278460955596,0.04669303629254462,-0.3560754894741599,-0.0340942113429759,1,-0.3317599007734159,-0.0097786226422318,1,-4.762486583808462
2019-05-31,8.586638820770755,18.71,10.123361179229246,102.48244156512574,0.2377838984262457,-0.7004991318636089,0.07835163878226507,0,-0.7968597319325855,-0.018008961286711752,1,-10.123361179229246
2019-06-03,12.683521716721865,18.86,6.176478283278135,38.148883983806414,0.06924873365672557,-0.3887544919271334,0.00798513691931305,0,-0.4254847488220539,-0.028745119975607518,1,-6.176478283278135
2019-06-04,10.73012753285856,16.97,6.2398724671414385,38.936008406189785,0.09069143272958291,-0.563987834998803,-0.1055961979591765,1,-0.5576048346037675,-0.0992131975641412,1,-6.2398724671414385
2019-06-05,5.495873921085755,16.09,10.594126078914245,112.23550737593092,0.4157711308756298,-1.1274494647118947,-0.05324911824184309,1,-1.1327389275292927,-0.05853858105924115,1,-10.594126078914245
2019-06-06,5.380031346717465,15.93,10.549968653282534,111.30183858524407,0.4232394490832436,-1.0955037603201632,-0.009993837082334717,1,-1.1053987080916177,-0.019888784853789317,1,-10.549968653282534
2019-06-07,6.519811601913111,16.3,9.780188398086889,95.65208510207339,0.31630806953889534,-0.8933586438129755,0.022960983890759512,0,-0.8756254368771806,0.04069419082655441,0,-9.780188398086889
2019-06-10,9.985042983217118,15.94,5.954957016782881,35.46151307173167,0.09415764157518502,-0.4900768361753235,-0.022333434450647765,1,-0.4900768361753235,-0.022333434450647765,1,-5.954957016782881
2019-06-11,11.304154740661538,15.99,4.685845259338462,21.95714579446474,0.05374470852798674,-0.3436613390553536,0.00313185348379388,0,-0.3373680520795645,0.009425140459583113,0,-4.685845259338462
2019-06-12,11.852915304967116,15.91,4.057084695032884,16.45993622267007,0.039371807023018235,-0.29938967222521234,-0.005015684496167357,1,-0.31613424949901414,-0.021760261769969074,1,-4.057084695032884
2019-06-13,11.72238851170524,15.82,4.09761148829476,16.790419909005198,0.0407597683919767,-0.3054472810377371,-0.005672880010187653,1,-0.321038491780991,-0.021264090753441524,1,-4.09761148829476
2019-06-14,10.381226268907572,15.28,4.898773731092428,23.997984068441227,0.06594540024715267,-0.42127595391978,-0.03473017860113339,1,-0.43258971382005346,-0.046043938501406846,1,-4.898773731092428
2019-06-17,8.990692039619411,15.35,6.359307960380589,40.44079773495992,0.1206384861466141,-0.5303549593944918,0.004570690294831766,0,-0.5542810926422795,-0.01935544295295609,1,-6.359307960380589
2019-06-18,9.662921783001417,15.15,5.487078216998583,30.108027359460348,0.08752108679496273,-0.4628194095327631,-0.013114942077828018,1,-0.43239378219547464,0.01731068525946052,0,-5.487078216998583
2019-06-19,9.909013660212503,14.33,4.420986339787497,19.545120216587648,0.060397773642064445,-0.4245557183133634,-0.05564529011529768,1,-0.41793317755287,-0.0490227493548043,1,-4.420986339787497
2019-06-20,8.50936069269146,14.75,6.240639307308539,38.945578963924405,0.1269820769395822,-0.5211884263198368,0.02888784094574829,0,-0.5007435830774211,0.04933268418816374,0,-6.240639307308539
2019-06-21,10.820877960733785,15.4,4.579122039266215,20.96835865049358,0.055544509930937735,-0.3097656702625217,0.04312442663375462,0,-0.30908747423788346,0.04380262265839284,0,-4.579122039266215
2019-06-24,13.045808525640592,15.26,2.214191474359408,4.90264388512589,0.01167039194630437,-0.16590061301674658,-0.009132483563272587,1,-0.16978914675643905,-0.013021017302965019,1,-2.214191474359408
2019-06-25,12.763548410237828,16.28,3.5164515897621733,12.365431783140917,0.027345777841182972,-0.1786416980224961,0.0647023347180834,0,-0.18972033854125459,0.053623694199324896,0,-3.5164515897621733
2019-06-26,14.694758607457748,16.21,1.5152413925422525,2.2959564776733847,0.004661744628272846,-0.10244648768717696,-0.0043090248268094706,1,-0.09132839910320002,0.0068090637571674465,0,-1.5152413925422525
2019-06-27,12.403529416646716,15.82,3.4164705833532842,11.67227124691833,0.027334950210257114,-0.26764727326139875,-0.024353373408077007,1,-0.23312862807647114,0.01016527177685071,0,-3.4164705833532842
2019-06-28,9.40549575375828,15.08,5.674504246241719,32.1999984406153,0.09578180446337026,-0.5199807892523598,-0.04790559975969786,1,-0.5123665392671142,-0.040291349774452354,1,-5.674504246241719
2019-07-01,6.531762848387983,14.06,7.528237151612018,56.67435461091143,0.2312205207892195,-0.8366924942562132,-0.07003547619729111,1,-0.7516083643097506,0.015048653749171333,0,-7.528237151612018
2019-07-02,3.6149388225720354,12.93,9.315061177427964,86.77036473922564,0.5540528956892083,-1.358258954131578,-0.08378369359875283,1,-1.3653461560146327,-0.09087089548180759,1,-9.315061177427964
2019-07-03,2.256778286061697,12.57,10.313221713938303,106.3625421208485,0.8969116199921447,-1.7456119336851552,-0.028237170181609997,1,-1.7647622699757501,-0.047387506472205056,1,-10.313221713938303
2019-07-05,3.7091678222649396,13.28,9.57083217773506,91.60082857436883,0.5547564051500233,-1.2205054778104476,0.054946121446131695,0,-1.2541418126698283,0.021309786586751027,0,-9.57083217773506
2019-07-08,8.194448468261117,13.96,5.765551531738884,33.2415844651366,0.11973406435853917,-0.48280223512266396,0.04993695328593881,0,-0.516126310854256,0.016612877554346792,0,-5.765551531738884
2019-07-09,11.273828199410653,14.09,2.8161718005893466,7.930823610434643,0.0231111265767332,-0.21371214644532083,0.00926922857636247,0,-0.24959358975448692,-0.02661221473280371,1,-2.8161718005893466
2019-07-10,11.27680858623226,13.03,1.7531914137677393,3.0736801333089248,0.00995573473874889,-0.2227170466244597,-0.07821093477383509,1,-0.24309007300677146,-0.09858396115614695,1,-1.7531914137677393
2019-07-11,6.693093139556534,12.93,6.236906860443466,38.89900718584677,0.17611468683816556,-0.666178271149658,-0.007704198352987564,1,-0.6646421725373182,-0.006168099740647773,1,-6.236906860443466
2019-07-12,5.205649012202666,12.39,7.184350987797335,51.61489911586454,0.28729454544018784,-0.9098058083453994,-0.04266049714271494,1,-0.8965708934782771,-0.02942558227559264,1,-7.184350987797335
2019-07-15,3.5114469715314462,12.68,9.168553028468553,84.06236463583987,0.5609257484786614,-1.2608615005103607,0.023136253368028808,0,-1.2760800561416041,0.007917697736785306,0,-9.168553028468553
2019-07-16,5.270066030053814,12.86,7.589933969946186,57.60709766814307,0.3018817841486299,-0.8779830571123255,0.014095769800393376,0,-0.8724472580800738,0.01963156883264507,0,-7.589933969946186
2019-07-17,6.551774752970769,13.97,7.418225247029231,55.0300658156619,0.22616509278442098,-0.6743857512118691,0.08279045445939719,0,-0.6555468895154628,0.10162931615580341,0,-7.418225247029231
2019-07-18,8.922704344807634,13.53,4.607295655192365,21.227173254354444,0.07578592520176519,-0.4483130949569977,-0.03200273108617383,1,-0.4820953362465684,-0.06578497237574447,1,-4.607295655192365
2019-07-19,6.302329718522394,14.45,8.147670281477605,66.38453101567336,0.2659224382928769,-0.7639900805522609,0.0657849723757446,0,-0.7475962707765845,0.08217878215142083,0,-8.147670281477605
2019-07-22,6.853150885799295,13.53,6.676849114200705,44.580314093802734,0.18671612932452586,-0.7459858847158436,-0.06578497237574447,1,-0.752882463774904,-0.07268155143480494,1,-6.676849114200705
2019-07-23,2.5200882854665787,12.61,10.089911714533422,101.80631840707878,0.8100446120960778,-1.680615507357729,-0.07041929220586848,1,-1.6724521967185682,-0.06225598156670755,1,-10.089911714533422
2019-07-26,1.2729828880822058,12.16,10.887017111917794,118.52714159519087,1.3614750920208127,-2.303383772856891,-0.0465947736059963,1,-2.290745373985168,-0.03395637473427347,1,-10.887017111917794
2019-07-29,0.9996231688101644,12.83,11.830376831189836,139.95781596795328,1.6300760324191166,-2.498528778746571,0.05363430208952412,0,-2.4977060719951076,0.05445700884098765,0,-11.830376831189836
2019-07-30,3.2958196037235434,13.94,10.644180396276456,113.298576308476,0.678536479584334,-1.3591312999581568,0.08297622670483266,0,-1.362244142938647,0.07986338372434264,0,-10.644180396276456
2019-07-31,5.131564472723871,16.12,10.988435527276131,120.74571533710427,0.4629854240023752,-0.9993518271989585,0.1452983317461045,0,-0.9914295675432476,0.15322059140181546,0,-10.988435527276131
2019-08-01,8.119631754150292,17.87,9.750368245849709,95.06968092967432,0.2432107567268691,-0.6857759344073615,0.10306259209285434,0,-0.6407318466609035,0.14810667983931242,0,-9.750368245849709
2019-08-02,9.168361612893465,17.61,8.441638387106535,71.26125865867061,0.17334214279583904,-0.6673647270346735,-0.014656406663221957,1,-0.6572409060350308,-0.0045325856635792606,1,-8.441638387106535
2019-08-05,3.034593567162352,24.59,21.55540643283765,464.63554648481875,1.2156699837339695,-1.7583894222318621,0.3338729337199865,0,-1.8836527706070654,0.2086095853447832,0,-21.55540643283765
2019-08-06,16.173713545995426,20.17,3.9962864540045757,15.970305422460466,0.022678832354609435,-0.4189525524819633,-0.19814350426198063,1,-0.3207508436516396,-0.099941795431657,1,-3.9962864540045757
2019-08-13,5.047377385707824,17.52,12.472622614292176,155.5663148785526,0.5325666232179225,-1.4299302156645257,-0.18545590898243783,1,-1.4388988856472862,-0.19442457896519835,1,-12.472622614292176
2019-08-15,11.7145151058452,21.18,9.4654848941548,89.59540428147271,0.14532191329466215,-0.6347489283001987,-0.04252026835044681,1,-0.6109382796064801,-0.018709619656728176,1,-9.4654848941548
2019-08-16,5.759382871235923,18.47,12.710617128764076,161.5597877940307,0.47714111867136855,-1.3022270116158343,-0.13690954596211183,1,-1.2686184716138809,-0.10330100596015857,1,-12.710617128764076
2019-08-22,2.2600284518201432,16.68,14.419971548179856,207.93557945031654,1.1343263068839433,-1.9446325375270228,0.05420045689767944,0,-1.964683334572584,0.034149659852118354,0,-14.419971548179856
2019-08-23,11.487549027272337,19.87,8.382450972727664,70.26548431018297,0.12608263202617032,-0.3729466413778297,0.1750006596331249,0,-0.3406562941158946,0.20729100689506003,0,-8.382450972727664
2019-08-26,22.42274080858985,19.32,3.10274080858985,9.627000525288796,0.01166252057717454,0.12086460198456134,-0.028070227779353526,0,0.09748626792787309,-0.05144856183604188,0,3.10274080858985
2019-08-27,19.425907634711685,20.31,0.8840923652883141,0.7816193103610859,0.0009758506075507878,0.005466791459439241,0.04997254680792123,1,-0.038084394681651715,0.006421360666830277,0,-0.8840923652883141
2019-08-28,21.613569377016685,19.35,2.263569377016683,5.123746324567695,0.0063514196908291964,0.06220795375425407,-0.048420956116502364,0,0.050460388404303606,-0.060168521466452726,0,2.263569377016683
2019-08-29,15.76297946328541,17.88,2.1170205367145893,4.481775952871328,0.0076170549317153835,-0.20502830067525846,-0.0790096497304228,1,-0.1878269383167118,-0.06180828737187624,1,-2.1170205367145893
2019-08-30,10.2210748197776,18.98,8.7589251802224,76.71877031273401,0.15745221319339064,-0.5592310222239104,0.05970302343641376,0,-0.5625811091091925,0.05635293655113178,0,-8.7589251802224
2019-09-03,16.026166855727904,19.66,3.6338331442720957,13.204743320410426,0.01952946748935025,-0.16916297831590074,0.03520032153723869,0,-0.26839304458696034,-0.06402974473382096,1,-3.6338331442720957
2019-09-04,18.30771908810279,17.33,0.9777190881027913,0.9559346152405538,0.0015340447521288159,-0.07126333571462187,-0.12614701099150588,1,0.004254190313826929,-0.05062948496305705,0,0.9777190881027913
2019-09-05,13.658126235042102,16.27,2.611873764957897,6.821884564075341,0.014455134152286497,-0.23810443065978878,-0.06311618249656815,1,-0.21416168111035147,-0.039173432947130875,1,-2.611873764957897
2019-09-06,11.497077861937917,15.0,3.5029221380620825,12.27046350532543,0.03242915444606487,-0.34723001711227325,-0.08127272012873638,1,-0.32548327629756385,-0.05952597931402686,1,-3.5029221380620825
2019-09-09,9.17037561351917,15.27,6.09962438648083,37.20541765615164,0.11046037388851437,-0.49207195454740227,0.017839918128331016,0,-0.5092567793015029,0.0006550933742301313,0,-6.09962438648083
2019-09-10,13.378402831623719,15.2,1.8215971683762806,3.3182162438364835,0.007811831138972991,-0.13224844148940706,-0.004594691378310417,1,-0.14913195941946167,-0.021478209308365033,1,-1.8215971683762806
2019-09-11,17.952252459877723,14.61,3.3422524598777237,11.170651505558695,0.022755346672737042,0.16642016443940102,-0.039589202089622626,0,0.15790389940790897,-0.04810546712111464,0,3.3422524598777237
2019-09-12,18.22969294415056,14.22,4.00969294415056,16.077637506370785,0.0335732730851086,0.22134551934949923,-0.02705680138751319,0,0.21588475492632136,-0.03251756581069106,0,4.00969294415056
2019-09-13,17.57651746083489,13.74,3.836517460834889,14.718866227290984,0.03297003343683813,0.21191435160489694,-0.03433813758089157,0,0.21614268771441802,-0.030109801471370455,0,3.836517460834889
